lat,lng,altitude,
37.53708505,126.9710657,0,
37.53754836,126.9711148,0,
37.53782921,126.9711353,0,
37.53805941,126.9711465,0,
37.53832954,126.9711604,0,
37.53905439,126.9711669,0,
37.5401237,126.9711661,0,
37.54164513,126.9711644,0,
37.54375959,126.9711565,0,
37.54462536,126.971149,0,
37.54536878,126.9711501,0,
37.54626383,126.9711455,0,
37.54697661,126.9711438,0,
37.54751648,126.9711383,0,
37.54795004,126.9711328,0,
37.54795004,126.9711328,0,
37.54819709,126.9711038,0,
37.54839224,126.9710722,0,
37.54859667,126.9710322,0,
37.54893488,126.9709415,0,
37.54903977,126.9709123,0,
37.54903977,126.9709123,0,
37.54936715,126.970821,0,
37.54948517,126.9707873,0,
37.54987636,126.9706808,0,
37.55000036,126.9706497,0,
37.55015124,126.970626,0,
37.55027868,126.9705989,0,
37.55037508,126.9705814,0,
37.55046031,126.9705682,0,
37.55056829,126.9705572,0,
37.55067114,126.9705493,0,
37.55077548,126.9705439,0,
37.55089468,126.9705411,0,
37.55105658,126.9705387,0,
37.5512435,126.9705394,0,
37.55144514,126.9705386,0,
37.55173585,126.9705364,0,
37.55189848,126.9705375,0,
37.5523482,126.970536,0,
